Timestamp,DHI,DNI,GHI,Clearsky.DHI,Clearsky.DNI,Clearsky.GHI,Temperature,Pressure,Relative.Humidity,Solar.Zenith.Angle,Wind.Direction,Wind.Speed
1/1/2015 0:00,0,0,0,0,0,0,0.747583008,1007.724854,69.31795502,170.0511765,24.36233521,1.373779416
1/1/2015 1:00,0,0,0,0,0,0,0.818109131,1007.326355,70.03897858,163.5190941,20.69218445,1.444375157
1/1/2015 2:00,0,0,0,0,0,0,0.808618164,1006.918274,71.72556305,151.8906279,18.98810577,1.50159061
1/1/2015 3:00,0,0,0,0,0,0,0.746911621,1006.45166,74.10799408,139.4288787,24.04086304,1.482983351
1/1/2015 4:00,0,0,0,0,0,0,0.716668701,1005.935486,76.57564545,126.8625782,34.15961456,1.454617023
1/1/2015 5:00,0,0,0,0,0,0,0.750787354,1005.51593,78.93769836,114.4449126,49.88857269,1.471444011
1/1/2015 6:00,0,0,0,0,0,0,0.855615234,1005.415039,81.3772583,102.3586253,63.8945961,1.374407053
1/1/2015 7:00,0,0,0,0,0,0,1.21315918,1005.531189,82.61444092,90.80584979,66.47801971,1.123053074
1/1/2015 8:00,3,0,3,44,519,133,1.980828857,1005.772949,81.82956696,80.08052086,57.968853,1.007161379
1/1/2015 9:00,41,0,41,64,717,302,2.724359131,1005.755737,82.68270111,70.58294124,64.73820496,1.1513834
1/1/2015 10:00,9,0,9,75,808,443,3.062524414,1005.194336,85.55273438,62.9018159,86.36653137,1.323126078
1/1/2015 11:00,45,0,45,81,851,534,2.923608398,1004.145813,88.70916748,57.78469476,104.8603973,1.346230745
1/1/2015 12:00,55,0,55,83,864,566,2.736108398,1003.179932,90.90381622,55.95017357,120.5500336,1.247640371
1/1/2015 13:00,58,0,58,81,852,536,2.621514893,1002.685669,92.02358246,57.71547638,131.6482544,1.06737864
1/1/2015 14:00,95,0,95,75,810,446,2.421899414,1002.468384,92.97177887,62.77478537,137.5693359,0.763952494
1/1/2015 15:00,20,0,20,64,720,306,2.406671143,1002.317871,92.88506317,70.41353941,130.8360443,0.462879241
1/1/2015 16:00,40,0,40,44,524,136,2.436395264,1002.298218,93.53800964,79.88216809,55.03278351,0.618168235
1/1/2015 17:00,0,0,0,0,0,0,2.349023438,1002.499268,94.73709869,90.58671065,18.65149689,1.102117538
1/1/2015 18:00,0,0,0,0,0,0,2.177331543,1002.71875,95.04875946,102.1282588,14.75392914,1.476361275
1/1/2015 19:00,0,0,0,0,0,0,2.018121338,1002.772949,95.07859039,114.2061803,16.41539764,1.730113268
